iden;cilindrada;potencia;combustible;revoluciones;cilindros;longitud;ancho;altura;maletero;peso;plazas;velocidad;poca_aceleracion;traccion;consumo;coste/Km;precio;marca
'LANCIA-Delta Integrale 16v';1995;200;Gasolina;5500;4;390;169;136;200;1250;5;220;5.7;4x4;10.6;17.3;4202;LANCIA
'LANCIA-Thema 2.0 ie';1995;119;Gasolina;5250;4;459;175;143;550;1230;5;195;10.5;Delantera;8.5;14.3;3250;LANCIA
'LANCIA-Thema 2.0 ie 16v';1995;150;Gasolina;6000;4;459;175;143;550;1250;5;205;9.5;Delantera;8.9;14.7;3590;LANCIA
'LANCIA-Thema 2.0 ie Turbo 16v';1995;185;Gasolina;5500;4;459;175;143;550;1285;5;225;7;Delantera;9.4;15.1;4524;LANCIA
'LANCIA-Thema 8.32';2927;215;Gasolina;6750;8;459;175;143;550;1400;5;240;6.8;Delantera;9.4;15.1;7924;LANCIA
'LANCIA-Thema Turbodiesel';2499;118;Diesel;3900;4;459;175;143;550;1350;5;195;11;Delantera;9.4;15.1;3870;LANCIA
'LANCIA-Y-10 1.1';1108;57;Gasolina;5500;4;339;151;144;195;795;5;155;15.2;Delantera;6.1;10.3;1210;LANCIA
'LANCIA-Y-10 1.3 GT IE';1301;78;Gasolina;5750;4;339;151;144;195;885;5;175;12;Delantera;7.2;11.6;1388;LANCIA
'LANCIA-Y-10 Fire';998;45;Gasolina;5000;4;339;151;144;195;780;5;145;16;Delantera;6;10.8;1020;LANCIA
'LOTUS-Esprit Turbo';2174;228;Gasolina;7000;4;439;186;116;175;1282;2;249;5.2;Trasera;12.7;17.6;11751;LOTUS
'LOTUS-Esprit Turbo SE';2174;264;Gasolina;6500;4;434;186;116;175;1305;2;272;4.7;Trasera;13.8;20.1;12948;LOTUS
'MASERATI-222';1996;220;Gasolina;6250;6;415;171;125;400;1210;5;225;6.2;Trasera;11.7;18.5;5975;MASERATI
'MASERATI-222 SE';2790;250;Gasolina;5600;6;419;171;135;400;1305;5;240;6.2;Trasera;14.6;21;7259;MASERATI
'MASERATI-228 Coup‚';2790;250;Gasolina;5600;6;446;186;133;530;1240;5;235;5.6;Trasera;15;22;9718;MASERATI
'MASERATI-422';1996;220;Gasolina;6250;6;440;173;131;550;1175;5;225;6.2;Trasera;11.7;18.5;6994;MASERATI
'MASERATI-430';2790;250;Gasolina;5600;6;440;171;125;400;1280;5;240;5.7;Trasera;14.6;21.1;8495;MASERATI
'MASERATI-Karif';2790;250;Gasolina;5600;6;404;171;131;550;1280;2;240;5.7;Trasera;11.9;18.6;9306;MASERATI
'MASERATI-Spider E';2790;250;Gasolina;5600;6;404;171;130;400;1105;2;240;5.7;Trasera;11.7;18.5;8580;MASERATI
'MAZDA-323 4WD AA';1597;150;Gasolina;6000;4;399;164;139;315;1155;5;205;8.1;4x4;10.6;17.3;3511;MAZDA
'MAZDA-323 Coup‚';1840;140;Gasolina;6500;4;399;167;138;310;1035;5;200;8;Delantera;8.4;15.4;2859;MAZDA
'MAZDA-626';1998;148;Gasolina;6000;4;451;169;137;457;1160;5;210;8.2;Trasera;10;15.6;3785;MAZDA
'MAZDA-929 GLX 3.0 V6 AA';2954;190;Gasolina;5500;6;488;170;142;427;1460;5;220;7.6;Trasera;13;18.3;5874;MAZDA
'MAZDA-MX-5';1597;115;Gasolina;6500;4;395;167;123;0;955;2;185;10;Trasera;8.5;14.3;3285;MAZDA
'MAZDA-RX-7';2616;150;Gasolina;6500;2;429;169;126;104;1205;2;210;8;Trasera;10.3;16.1;5568;MAZDA
'MAZDA-RX-7 Turbo';2616;200;Gasolina;6500;2;431;169;126;104;1360;2;240;6.7;Trasera;11.9;17.6;6455;MAZDA
'MAZDA-RX-7 Turbo Cabrio';2616;200;Gasolina;6500;2;431;169;126;117;1420;2;230;6.7;Trasera;11.9;17.6;6954;MAZDA
'MERCEDES-190 D 2.5';2497;94;Diesel;4600;5;445;169;137;410;1230;5;174;15.1;Trasera;8.4;10.7;3956;MERCEDES
'MERCEDES-190 D 4v';1997;75;Diesel;4600;4;445;169;137;410;1180;5;160;18.6;Trasera;7.3;11.2;3362;MERCEDES
'MERCEDES-190 DT 2.5';2497;126;Diesel;5100;5;445;169;137;410;1300;5;195;11.5;Trasera;8;10.5;4431;MERCEDES
'MERCEDES-190 E 1.8';1797;109;Gasolina;5500;4;445;169;137;410;1160;5;185;12.7;Trasera;8.1;13.9;3019;MERCEDES
'MERCEDES-190 E 2.0';1996;118;Gasolina;5200;4;445;169;137;410;1170;5;190;10.9;Trasera;8.4;14.2;3885;MERCEDES
'MERCEDES-190 E 2.3';2298;132;Gasolina;5100;4;445;169;137;410;1200;5;197;10.6;Trasera;9.8;15.5;4144;MERCEDES
'MERCEDES-190 E 2.5 16v';2498;195;Gasolina;6750;4;443;171;136;385;1300;4;230;7.7;Trasera;10.8;17.5;7042;MERCEDES
'MERCEDES-190 E 2.6';2597;160;Gasolina;5800;6;445;169;137;410;1270;5;212;9.2;Trasera;11.5;18.1;4804;MERCEDES
'MERCEDES-200 TD';1997;75;Diesel;4600;4;476;174;149;520;1430;7;150;21.7;Trasera;7.6;10;4988;MERCEDES
'MERCEDES-200 TE';1996;118;Gasolina;5100;4;476;174;149;520;1440;7;180;12.9;Trasera;9.8;15.7;5125;MERCEDES
'MERCEDES-230 CE';2298;132;Gasolina;5100;4;465;174;139;480;1360;4;200;10.6;Trasera;10.3;15.9;5999;MERCEDES
'MERCEDES-230 TE 4v';2298;136;Gasolina;5100;4;476;174;149;530;1450;7;191;11.2;Trasera;9.8;15.5;5304;MERCEDES
'MERCEDES-250 D';2497;94;Diesel;4600;5;474;174;143;520;1370;5;175;16.5;Trasera;7.7;10.2;4729;MERCEDES
'MERCEDES-250 D Turbo';2497;125;Diesel;4600;5;474;174;143;520;1430;5;198;12.3;Trasera;7.7;10.5;5479;MERCEDES
'MERCEDES-250 TD';2497;94;Diesel;4600;5;476;174;149;520;1480;7;165;17.6;Trasera;7.7;10.2;5363;MERCEDES
'MERCEDES-260 E';2597;160;Gasolina;5800;6;474;174;144;520;1390;5;215;9;Trasera;11.9;17.6;5489;MERCEDES
'MERCEDES-260 E 4 Matic';2597;160;Gasolina;5800;6;474;174;145;520;1510;5;205;10.7;4x4;10.1;16;7075;MERCEDES
'MERCEDES-260 SE';2597;160;Gasolina;5800;6;502;182;144;505;1570;6;200;10.5;Trasera;11.9;17.6;6317;MERCEDES
'MERCEDES-300 CE';2960;180;Gasolina;5700;6;465;174;139;480;1400;4;225;8.1;Trasera;12.1;17.7;7079;MERCEDES
'MERCEDES-300 CE 24v';2960;220;Gasolina;6400;6;465;174;139;480;1470;4;237;8.1;Trasera;13.1;18.7;7979;MERCEDES
'MERCEDES-300 D';2996;113;Diesel;4600;6;474;174;143;520;1410;5;190;13.7;Trasera;8.6;11;5129;MERCEDES
'MERCEDES-300 D 4 Matic Aut.';2996;113;Diesel;4600;6;474;174;145;520;1530;5;178;16;4x4;8.6;11;6829;MERCEDES
'MERCEDES-300 D Turbo';2996;147;Diesel;4600;6;474;174;143;520;1470;5;202;10.9;Trasera;8.6;11;6229;MERCEDES
'MERCEDES-300 D Turbo 4 Matic Aut.';2996;147;Diesel;4600;6;474;174;145;520;1590;5;198;11.8;4x4;9.6;11.8;7557;MERCEDES
'MERCEDES-300 E';2960;180;Gasolina;5700;6;474;174;143;520;1390;5;225;8.1;Trasera;11.2;16.9;5929;MERCEDES
'MERCEDES-300 E 24v';2960;220;Gasolina;6400;6;474;174;145;520;1460;5;237;8.1;Trasera;13.1;18.6;6629;MERCEDES
'MERCEDES-300 E 4 Matic';2960;180;Gasolina;5700;6;474;174;145;520;1510;5;217;9.1;4x4;11.2;16.9;7579;MERCEDES
'MERCEDES-300 SE';2960;180;Gasolina;5700;6;502;182;143;505;1570;5;205;9.3;Trasera;14.5;19.4;6768;MERCEDES
'MERCEDES-300 SL';2960;190;Gasolina;5700;6;447;181;128;260;1650;2;228;9.3;Trasera;12.1;17.7;9816;MERCEDES
'MERCEDES-300 SL 24v';2960;231;Gasolina;6400;6;447;181;128;260;1690;2;249;8.4;Trasera;13.1;18.6;10868;MERCEDES
'MERCEDES-300 TD';2996;113;Diesel;4600;6;476;174;149;520;1520;7;180;14.6;Trasera;8.6;11.1;5764;MERCEDES
'MERCEDES-300 TD Turbo 4 Matic Aut.';2996;147;Diesel;4600;6;476;174;150;520;1690;7;188;12.8;4x4;9.6;11.8;8087;MERCEDES
'MERCEDES-300 TD Turbo Aut.';2996;147;Diesel;4600;6;476;174;149;520;1580;7;195;11.9;Trasera;9.6;11.8;6828;MERCEDES
'MERCEDES-300 TE';2960;180;Gasolina;5700;6;476;174;149;520;1500;7;212;8.4;Trasera;11.2;16.9;6519;MERCEDES
'MERCEDES-300 TE 24v';2960;220;Gasolina;6400;6;476;174;149;520;1590;7;225;8.3;Trasera;13.1;18.6;7225;MERCEDES
'MERCEDES-300 TE 4 Matic';2960;180;Gasolina;5700;6;476;174;150;520;1610;7;205;9.8;4x4;11.2;16.9;8083;MERCEDES
'MERCEDES-420 SE Aut.';4196;224;Gasolina;5400;8;502;182;143;505;1640;5;220;8.3;Trasera;14.2;20.3;8218;MERCEDES
'MERCEDES-420 SEC Aut.';4196;224;Gasolina;5400;8;493;183;141;505;1620;4;220;8.3;Trasera;13.2;19.8;10975;MERCEDES
'MERCEDES-500 SE Aut.';4973;252;Gasolina;5200;8;502;182;143;505;1670;5;230;7.5;Trasera;15.1;21;8875;MERCEDES
'MERCEDES-500 SEC Aut.';4973;252;Gasolina;5200;8;493;183;141;505;1650;4;230;7.5;Trasera;11.4;18.3;11636;MERCEDES
'MERCEDES-500 SL Aut.';4973;326;Gasolina;5500;8;447;181;128;260;1770;2;250;6.2;Trasera;14.2;20.7;13702;MERCEDES
'MERCEDES-560 SE Aut.';5547;279;Gasolina;5200;8;502;182;143;505;1800;5;240;7.2;Trasera;15.1;21.3;13083;MERCEDES
'MERCEDES-560 SEC Aut.';5547;279;Gasolina;5200;8;493;183;141;505;1760;4;240;7.2;Trasera;15.1;21.3;15146;MERCEDES
'MITSUBISHI-Galant 2.0 GTI 16v';1997;146;Gasolina;6500;4;454;169;142;420;1160;5;205;8.7;Delantera;9.8;11.4;3758;MITSUBISHI
'MORGAN-1600 Four';1598;96;Gasolina;5750;4;389;150;135;0;920;4;185;8;Trasera;8.5;15;6034;MORGAN
'MORGAN-Plus 8';3532;193;Gasolina;5280;8;396;160;122;140;940;2;197;7;Trasera;11.8;18.6;7412;MORGAN
'NISSAN-200 SX 1.8i Turbo 16v';1809;171;Gasolina;6400;4;453;169;129;0;1190;2;225;7.5;Trasera;10.5;17.2;4285;NISSAN
'NISSAN-300 ZX 3.0i Turbo';2960;228;Gasolina;5400;6;460;172;131;0;1475;2;235;7;Trasera;13.5;20;6285;NISSAN
'NISSAN-Bluebird 1.8 T';1809;135;Gasolina;6000;4;446;169;139;410;1215;5;195;9;Delantera;8.6;14.5;2535;NISSAN
'NISSAN-Bluebird 2.0 D 4p';1952;67;Diesel;4600;4;446;169;139;410;1255;5;150;17;Delantera;6.4;8.8;2155;NISSAN
'NISSAN-Bluebird SLX 1.6 4p';1598;84;Gasolina;5200;4;440;169;139;410;1130;5;165;12.4;Delantera;8;13.8;1695;NISSAN
'NISSAN-Bluebird SLX 2.0 4p';1973;102;Gasolina;5200;4;446;169;139;410;1175;5;180;10.4;Delantera;9.8;15.4;1985;NISSAN
'NISSAN-Bluebird SLX 2.0i AA 4p';1973;116;Gasolina;5200;4;446;169;139;410;1195;5;185;10;Delantera;10;15.8;2415;NISSAN
'NISSAN-Maxima 3.0i Aut.';2960;170;Gasolina;5600;6;478;176;140;0;1360;5;223;7.2;Delantera;13;20;4635;NISSAN
'NISSAN-Praire SLX 2.0 SW';1973;99;Gasolina;5600;4;436;169;163;430;1240;5;170;12.3;Delantera;9.8;15.4;3139;NISSAN
'NISSAN-Primera 1.6';1597;95;Gasolina;6000;4;440;170;140;470;1085;5;185;10.4;Delantera;7.7;13.1;2081;NISSAN
'NISSAN-Primera 2.0 E GT';1998;150;Gasolina;6400;4;440;170;140;470;1190;5;220;8.4;Delantera;8.5;14.1;3383;NISSAN
